Year,State,Total
2011,A & N Islands,680
2011,Andhra Pradesh,75385
2011,Arunachal Pradesh,670
2011,Assam,13630
2011,Bihar,3975
2011,Chandigarh,525
2011,Chhattisgarh,33780
2011,D & N Haveli,315
2011,Daman & Diu,165
2011,Delhi (Ut),8580
2011,Goa,1465
2011,Gujarat,31910
2011,Haryana,16225
2011,Himachal Pradesh,2214
2011,Jammu & Kashmir,1432
2011,Jharkhand,6060
2011,Karnataka,63110
2011,Kerala,41421
2011,Lakshadweep,0
2011,Madhya Pradesh,46295
2011,Maharashtra,79735
2011,Manipur,165
2011,Meghalaya,761
2011,Mizoram,450
2011,Nagaland,165
2011,Odisha,26205
2011,Puducherry,2785
2011,Punjab,4830
2011,Rajasthan,21740
2011,Sikkim,916
2011,Tamil Nadu,79815
2011,Total (All India),271170
2011,Total (States),265950
2011,Total (Uts),5220
2011,Tripura,3515
2011,Uttar Pradesh,24195
2011,Uttarakhand,1585
2011,West Bengal,82460
2012,A & N Islands,605
2012,Andhra Pradesh,71190
2012,Arunachal Pradesh,646
2012,Assam,16320
2012,Bihar,3795
2012,Chandigarh,567
2012,Chhattisgarh,28270
2012,D & N Haveli,330
2012,Daman & Diu,180
2012,Delhi (Ut),9494
2012,Goa,1445
2012,Gujarat,35550
2012,Haryana,14135
2012,Himachal Pradesh,2636
2012,Jammu & Kashmir,2070
2012,Jharkhand,6595
2012,Karnataka,63765
2012,Kerala,42450
2012,Lakshadweep,5
2012,Madhya Pradesh,48875
2012,Maharashtra,80560
2012,Manipur,205
2012,Meghalaya,640
2012,Mizoram,857
2012,Nagaland,150
2012,Odisha,25135
2012,Puducherry,2705
2012,Punjab,5150
2012,Rajasthan,24105
2012,Sikkim,905
2012,Tamil Nadu,84635
2012,Total (All India),270890
2012,Total (States),265334
2012,Total (Uts),5556
2012,Tripura,4220
2012,Uttar Pradesh,22107
2012,Uttarakhand,2120
2012,West Bengal,44871
